analysis_row_id,lnp_id,paper_doi,md_source_lnp_id,transfection_active,fold,feature,display_name,family,shap_value,abs_shap_value,md_value
293,781,10.1002/btm2.10580,LNP858,1,5,md_RNA_buried_fraction_contact_based_mean_last100ns,RNA buried fraction,rna_association,0.009207830258540193,0.009207830258540193,0.149654436759183
293,781,10.1002/btm2.10580,LNP858,1,5,md_LNP_only_shape_anisotropy_kappa2_mean_last100ns,Shape anisotropy,size_shape,-0.006430999056748679,0.006430999056748679,0.2087814469100862
293,781,10.1002/btm2.10580,LNP858,1,5,md_LNP_only_compactness_inv_Rg_1_per_nm_mean_last100ns,LNP compactness,size_shape,-0.0005907971339005818,0.0005907971339005818,0.087026729854831
293,781,10.1002/btm2.10580,LNP858,1,5,md_water_inside_LNP_core_RgSphere_count_fraction_of_total_water_mean_last100ns,Core water fraction,water_penetration,-0.0033928384833557235,0.0033928384833557235,0.1954791303720854
367,922,https://doi.org/10.1073/pnas.2303567120,LNP858,0,5,md_LNP_only_Rg_nm_mean_last100ns,LNP radius of gyration,size_shape,-0.0011010101010101004,0.0011010101010101004,11.327454425742577
367,922,https://doi.org/10.1073/pnas.2303567120,LNP858,0,5,md_LNP_core_Rg_nm_mean_last100ns,Core radius of gyration,size_shape,-0.004441997615910657,0.004441997615910657,10.996099425742576
367,922,https://doi.org/10.1073/pnas.2303567120,LNP858,0,5,md_LNP_only_SASA_nm2_mean_last100ns,LNP solvent-accessible area,size_shape,-0.015229743117113309,0.015229743117113309,1016.6465940594056
367,922,https://doi.org/10.1073/pnas.2303567120,LNP858,0,5,md_RNA_Rg_nm_mean_last100ns,RNA radius of gyration,size_shape,0.0023216690690178203,0.0023216690690178203,2.123560346534653
367,922,https://doi.org/10.1073/pnas.2303567120,LNP858,0,5,md_LNP_RNA_Rg_nm_mean_last100ns,LNP-RNA radius of gyration,size_shape,-0.002537972085385878,0.002537972085385878,10.968207019801978
367,922,https://doi.org/10.1073/pnas.2303567120,LNP858,0,5,md_RNA_LNP_COM_distance_nm_mean_last100ns,RNA-LNP center distance,rna_association,0.006536180773249741,0.006536180773249741,5.766475247524753
367,922,https://doi.org/10.1073/pnas.2303567120,LNP858,0,5,md_RNA_LNP_mindist_nm_mean_last100ns,RNA-LNP minimum distance,rna_association,0.0007711349952729256,0.0007711349952729256,0.3430204831683168
367,922,https://doi.org/10.1073/pnas.2303567120,LNP858,0,5,md_RNA_LNP_contacts_0p6nm_mean_last100ns,RNA-LNP contacts,rna_association,0.018616783233669634,0.018616783233669634,208.43564356435644
367,922,https://doi.org/10.1073/pnas.2303567120,LNP858,0,5,md_RNA_buried_fraction_contact_based_mean_last100ns,RNA buried fraction,rna_association,0.009207830258540193,0.009207830258540193,0.149654436759183
367,922,https://doi.org/10.1073/pnas.2303567120,LNP858,0,5,md_LNP_only_shape_anisotropy_kappa2_mean_last100ns,Shape anisotropy,size_shape,-0.008508734539656579,0.008508734539656579,0.2087814469100862
367,922,https://doi.org/10.1073/pnas.2303567120,LNP858,0,5,md_LNP_only_compactness_inv_Rg_1_per_nm_mean_last100ns,LNP compactness,size_shape,-0.0012096394984326016,0.0012096394984326016,0.087026729854831
367,922,https://doi.org/10.1073/pnas.2303567120,LNP858,0,5,md_water_inside_LNP_core_RgSphere_count_fraction_of_total_water_mean_last100ns,Core water fraction,water_penetration,-0.0029166480071652475,0.0029166480071652475,0.1954791303720854
368,923,https://doi.org/10.1073/pnas.2303567120,LNP858,0,5,md_LNP_only_Rg_nm_mean_last100ns,LNP radius of gyration,size_shape,-0.0011010101010101004,0.0011010101010101004,11.327454425742577
368,923,https://doi.org/10.1073/pnas.2303567120,LNP858,0,5,md_LNP_core_Rg_nm_mean_last100ns,Core radius of gyration,size_shape,-0.004441997615910657,0.004441997615910657,10.996099425742576
368,923,https://doi.org/10.1073/pnas.2303567120,LNP858,0,5,md_LNP_only_SASA_nm2_mean_last100ns,LNP solvent-accessible area,size_shape,-0.015229743117113309,0.015229743117113309,1016.6465940594056
368,923,https://doi.org/10.1073/pnas.2303567120,LNP858,0,5,md_RNA_Rg_nm_mean_last100ns,RNA radius of gyration,size_shape,0.0023216690690178203,0.0023216690690178203,2.123560346534653
368,923,https://doi.org/10.1073/pnas.2303567120,LNP858,0,5,md_LNP_RNA_Rg_nm_mean_last100ns,LNP-RNA radius of gyration,size_shape,-0.002537972085385878,0.002537972085385878,10.968207019801978
