processed_column,block,dtype,fill_fraction,model_input
feat_fp_831,feat_,float64,0.835920177383592,True
feat_fp_832,feat_,float64,0.835920177383592,True
feat_fp_834,feat_,float64,0.835920177383592,True
feat_fp_842,feat_,float64,0.835920177383592,True
feat_fp_843,feat_,float64,0.835920177383592,True
feat_fp_854,feat_,float64,0.835920177383592,True
feat_fp_869,feat_,float64,0.835920177383592,True
feat_fp_874,feat_,float64,0.835920177383592,True
feat_fp_875,feat_,float64,0.835920177383592,True
feat_fp_876,feat_,float64,0.835920177383592,True
feat_fp_881,feat_,float64,0.835920177383592,True
feat_fp_886,feat_,float64,0.835920177383592,True
feat_fp_890,feat_,float64,0.835920177383592,True
feat_fp_893,feat_,float64,0.835920177383592,True
feat_fp_897,feat_,float64,0.835920177383592,True
feat_fp_899,feat_,float64,0.835920177383592,True
feat_fp_909,feat_,float64,0.835920177383592,True
feat_fp_912,feat_,float64,0.835920177383592,True
feat_fp_913,feat_,float64,0.835920177383592,True
feat_fp_916,feat_,float64,0.835920177383592,True
feat_fp_926,feat_,float64,0.835920177383592,True
feat_fp_928,feat_,float64,0.835920177383592,True
feat_fp_932,feat_,float64,0.835920177383592,True
feat_fp_935,feat_,float64,0.835920177383592,True
feat_fp_945,feat_,float64,0.835920177383592,True
feat_fp_946,feat_,float64,0.835920177383592,True
feat_fp_948,feat_,float64,0.835920177383592,True
feat_fp_950,feat_,float64,0.835920177383592,True
feat_fp_951,feat_,float64,0.835920177383592,True
feat_fp_955,feat_,float64,0.835920177383592,True
feat_fp_966,feat_,float64,0.835920177383592,True
feat_fp_968,feat_,float64,0.835920177383592,True
feat_fp_976,feat_,float64,0.835920177383592,True
feat_fp_978,feat_,float64,0.835920177383592,True
feat_fp_980,feat_,float64,0.835920177383592,True
feat_fp_981,feat_,float64,0.835920177383592,True
feat_fp_991,feat_,float64,0.835920177383592,True
feat_fp_993,feat_,float64,0.835920177383592,True
feat_fp_1002,feat_,float64,0.835920177383592,True
feat_fp_1004,feat_,float64,0.835920177383592,True
feat_fp_1006,feat_,float64,0.835920177383592,True
feat_fp_1008,feat_,float64,0.835920177383592,True
