seed,weighting,metric,baseline,baseline_plus_md,delta_md_minus_baseline
2030,row_weighted,pr_auc_active,0.475071225071225,0.545970695970696,0.07089947089947102
2030,row_weighted,pr_auc_inactive,0.6069684283969998,0.6793040293040293,0.07233560090702951
2030,row_weighted,balanced_accuracy,0.5357142857142857,0.6309523809523809,0.09523809523809523
2030,row_weighted,macro_f1,0.5357142857142857,0.606060606060606,0.07034632034632027
2030,row_weighted,mcc,0.07142857142857142,0.2828894749305018,0.2114609035019304
2031,row_weighted,roc_auc,0.4761904761904762,0.6428571428571429,0.16666666666666669
2031,row_weighted,pr_auc_active,0.475071225071225,0.55995670995671,0.08488548488548497
2031,row_weighted,pr_auc_inactive,0.6069684283969998,0.7745421245421246,0.16757369614512474
2031,row_weighted,balanced_accuracy,0.5357142857142857,0.6309523809523809,0.09523809523809523
2031,row_weighted,macro_f1,0.5357142857142857,0.606060606060606,0.07034632034632027
2031,row_weighted,mcc,0.07142857142857142,0.2828894749305018,0.2114609035019304
2032,row_weighted,roc_auc,0.5,0.5952380952380953,0.09523809523809534
2032,row_weighted,pr_auc_active,0.486975986975987,0.545970695970696,0.058994708994709044
2032,row_weighted,pr_auc_inactive,0.6205738705738706,0.6793040293040293,0.058730158730158744
2032,row_weighted,balanced_accuracy,0.6190476190476191,0.6309523809523809,0.011904761904761862
2032,row_weighted,macro_f1,0.6153846153846154,0.606060606060606,-0.009324009324009452
2032,row_weighted,mcc,0.23809523809523808,0.2828894749305018,0.044794236835263734
2033,row_weighted,roc_auc,0.4523809523809524,0.6428571428571429,0.19047619047619052
2033,row_weighted,pr_auc_active,0.4658119658119658,0.55995670995671,0.09414474414474416
2033,row_weighted,pr_auc_inactive,0.5855398569684284,0.7745421245421246,0.1890022675736962
2033,row_weighted,balanced_accuracy,0.4642857142857143,0.6309523809523809,0.16666666666666663
2033,row_weighted,macro_f1,0.46153846153846156,0.606060606060606,0.1445221445221444
2033,row_weighted,mcc,-0.07142857142857142,0.2828894749305018,0.35431804635907327
2034,row_weighted,roc_auc,0.5,0.6428571428571429,0.1428571428571429
2034,row_weighted,pr_auc_active,0.49173789173789173,0.55995670995671,0.06821881821881826
2034,row_weighted,pr_auc_inactive,0.6168890633176347,0.7745421245421246,0.15765306122448985
2034,row_weighted,balanced_accuracy,0.6071428571428572,0.7023809523809523,0.09523809523809512
2034,row_weighted,macro_f1,0.606060606060606,0.6904761904761905,0.0844155844155845
2034,row_weighted,mcc,0.21957751641341997,0.4147575310031266,0.19518001458970666
2035,row_weighted,roc_auc,0.4285714285714286,0.6428571428571429,0.2142857142857143
2035,row_weighted,pr_auc_active,0.45390720390720396,0.55995670995671,0.10604950604950603
2035,row_weighted,pr_auc_inactive,0.5753357753357753,0.7745421245421246,0.19920634920634928
2035,row_weighted,balanced_accuracy,0.45238095238095233,0.7023809523809523,0.25
2035,row_weighted,macro_f1,0.4484848484848485,0.6904761904761905,0.24199134199134198
2035,row_weighted,mcc,-0.09759000729485333,0.4147575310031266,0.51234753829798
2036,row_weighted,roc_auc,0.5,0.6428571428571429,0.1428571428571429
2036,row_weighted,pr_auc_active,0.486975986975987,0.55995670995671,0.072980722980723
2036,row_weighted,pr_auc_inactive,0.6205738705738706,0.7745421245421246,0.15396825396825398
2036,row_weighted,balanced_accuracy,0.5357142857142857,0.6309523809523809,0.09523809523809523
2036,row_weighted,macro_f1,0.5357142857142857,0.606060606060606,0.07034632034632027
2036,row_weighted,mcc,0.07142857142857142,0.2828894749305018,0.2114609035019304
2037,row_weighted,roc_auc,0.4761904761904762,0.6428571428571429,0.16666666666666669
2037,row_weighted,pr_auc_active,0.475071225071225,0.55995670995671,0.08488548488548497
2037,row_weighted,pr_auc_inactive,0.6069684283969998,0.7745421245421246,0.16757369614512474
2037,row_weighted,balanced_accuracy,0.5357142857142857,0.6309523809523809,0.09523809523809523
2037,row_weighted,macro_f1,0.5357142857142857,0.606060606060606,0.07034632034632027
2037,row_weighted,mcc,0.07142857142857142,0.2828894749305018,0.2114609035019304
2038,row_weighted,roc_auc,0.40476190476190477,0.6428571428571429,0.23809523809523814
2038,row_weighted,pr_auc_active,0.45192307692307687,0.55995670995671,0.10803363303363311
2038,row_weighted,pr_auc_inactive,0.5379208093493808,0.7745421245421246,0.23662131519274376
2038,row_weighted,balanced_accuracy,0.5357142857142857,0.6309523809523809,0.09523809523809523
2038,row_weighted,macro_f1,0.5357142857142857,0.606060606060606,0.07034632034632027
2038,row_weighted,mcc,0.07142857142857142,0.2828894749305018,0.2114609035019304
2039,row_weighted,roc_auc,0.4285714285714286,0.6428571428571429,0.2142857142857143
2039,row_weighted,pr_auc_active,0.45390720390720396,0.55995670995671,0.10604950604950603
2039,row_weighted,pr_auc_inactive,0.5753357753357753,0.7745421245421246,0.19920634920634928
2039,row_weighted,balanced_accuracy,0.4642857142857143,0.7023809523809523,0.23809523809523803
2039,row_weighted,macro_f1,0.46153846153846156,0.6904761904761905,0.2289377289377289
2039,row_weighted,mcc,-0.07142857142857142,0.4147575310031266,0.486186102431698
2040,row_weighted,roc_auc,0.5476190476190477,0.5952380952380953,0.04761904761904767
2040,row_weighted,pr_auc_active,0.5057239057239057,0.545970695970696,0.04024679024679034
2040,row_weighted,pr_auc_inactive,0.71212715855573,0.6793040293040293,-0.03282312925170072
2040,row_weighted,balanced_accuracy,0.6071428571428572,0.6309523809523809,0.023809523809523725
2040,row_weighted,macro_f1,0.606060606060606,0.606060606060606,0.0
2040,row_weighted,mcc,0.21957751641341997,0.2828894749305018,0.06331195851708185
2041,row_weighted,roc_auc,0.5,0.5952380952380953,0.09523809523809534
2041,row_weighted,pr_auc_active,0.49173789173789173,0.545970695970696,0.0542328042328043
2041,row_weighted,pr_auc_inactive,0.6168890633176347,0.6793040293040293,0.06241496598639462
2041,row_weighted,balanced_accuracy,0.5357142857142857,0.7023809523809523,0.16666666666666663
2041,row_weighted,macro_f1,0.5357142857142857,0.6904761904761905,0.15476190476190477
2041,row_weighted,mcc,0.07142857142857142,0.4147575310031266,0.3433289595745552
2042,row_weighted,roc_auc,0.4761904761904762,0.5952380952380953,0.11904761904761912
2042,row_weighted,pr_auc_active,0.48247863247863243,0.545970695970696,0.0634920634920636
2042,row_weighted,pr_auc_inactive,0.5954604918890634,0.6793040293040293,0.08384353741496597
2042,row_weighted,balanced_accuracy,0.5357142857142857,0.7023809523809523,0.16666666666666663
2042,row_weighted,macro_f1,0.5357142857142857,0.6904761904761905,0.15476190476190477
2042,row_weighted,mcc,0.07142857142857142,0.4147575310031266,0.3433289595745552
2043,row_weighted,roc_auc,0.4761904761904762,0.5952380952380953,0.11904761904761912
